Order ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode,Order Date,CustomerName,State,City
B-25681,1096,658,7,Electronics,Electronic Games,COD,10/3/2018,Harivansh,Uttar Pradesh,Mathura
B-26055,5729,64,14,Furniture,Chairs,EMI,3/2/2018,Madhav,Delhi,Delhi
B-25955,2927,146,8,Furniture,Bookcases,EMI,24-01-2018,Madan Mohan,Uttar Pradesh,Mathura
B-26093,2847,712,8,Electronics,Printers,Credit Card,27-12-2018,Gopal,Maharashtra,Mumbai
B-25602,2617,1151,4,Electronics,Phones,Credit Card,21-08-2018,Vishakha,Madhya Pradesh,Indore
B-25881,2244,247,4,Clothing,Trousers,Credit Card,21-01-2018,Sudevi,Uttar Pradesh,Prayagraj
B-25696,275,-275,4,Clothing,Saree,COD,16-01-2018,Shiva,Maharashtra,Pune
B-25687,387,-213,5,Clothing,Saree,UPI,27-03-2018,Sarita,Maharashtra,Pune
B-25643,50,-44,2,Clothing,Hankerchief,UPI,1/10/2018,Shishu,Andhra Pradesh,Hyderabad
B-25851,135,-54,5,Clothing,Kurti,COD,1/4/2018,Vrinda,Maharashtra,Pune
B-25703,231,-190,9,Clothing,Hankerchief,COD,13-11-2018,Uudhav,Maharashtra,Mumbai
B-25887,2125,-234,6,Electronics,Printers,EMI,21-01-2018,Shreyshi,Gujarat,Surat
B-25923,3873,-891,6,Electronics,Phones,Credit Card,30-03-2018,Bhishm,Maharashtra,Mumbai
B-25756,729,-492,5,Furniture,Bookcases,UPI,4/2/2018,Yogesh,Maharashtra,Pune
B-25761,2188,1050,5,Furniture,Bookcases,Credit Card,25-11-2018,Lalita,Uttar Pradesh,Mathura
B-25655,6,-3,1,Clothing,Hankerchief,UPI,25-08-2018,Madhav,Uttar Pradesh,Mathura
B-25786,1854,433,5,Furniture,Bookcases,Credit Card,1/12/2018,Vishakha,Uttar Pradesh,Prayagraj
B-26095,6,1,1,Clothing,Kurti,UPI,18-10-2018,Rohan,Maharashtra,Mumbai
B-25853,2093,721,5,Furniture,Chairs,Credit Card,8/11/2018,Gaurav,Gujarat,Ahmedabad
B-25735,7,-1,2,Clothing,Skirt,UPI,15-11-2018,Amol,Bihar,Patna
B-25910,1622,-624,5,Furniture,Tables,Credit Card,26-10-2018,Aastha,Himachal Pradesh,Simla
B-25950,1622,95,5,Electronics,Printers,Credit Card,19-09-2018,Madan Mohan,Uttar Pradesh,Mathura
B-25744,373,254,6,Electronics,Printers,UPI,11/6/2018,Pooja,Himachal Pradesh,Simla
B-25845,82,-33,4,Clothing,Kurti,COD,18-02-2018,Shrichand,Punjab,Chandigarh
B-26001,8,2,2,Clothing,Skirt,UPI,8/2/2018,Hitesh,Madhya Pradesh,Bhopal
B-25830,1954,782,3,Electronics,Phones,Credit Card,19-08-2018,Shourya,Kerala ,Thiruvananthapuram
B-25842,1543,370,8,Electronics,Printers,Credit Card,10/12/2018,Ishpreet,Maharashtra,Mumbai
B-25778,1506,-266,6,Electronics,Printers,Credit Card,4/1/2018,Sudhir,Nagaland,Kohima
B-25686,1829,-56,6,Furniture,Tables,Credit Card,30-09-2018,Sauptik,Madhya Pradesh,Indore
B-25754,9,-1,3,Clothing,Skirt,UPI,27-04-2018,Lisha,Madhya Pradesh,Bhopal
B-26048,1461,202,5,Furniture,Tables,EMI,4/6/2018,Bhawna,Madhya Pradesh,Indore
B-25816,391,113,8,Clothing,Stole,COD,13-12-2018,Sujay,Maharashtra,Pune
B-26022,1824,1303,8,Electronics,Phones,Credit Card,14-12-2018,Jay,Delhi,Delhi
B-25883,16,-15,4,Clothing,Hankerchief,UPI,13-01-2018,Shruti,Madhya Pradesh,Indore
B-26003,1745,122,2,Furniture,Tables,Credit Card,12/4/2018,Mohan,Haryana,Chandigarh
B-26097,663,-212,5,Electronics,Printers,UPI,23-12-2018,Neha,Rajasthan,Udaipur
B-25710,10,-1,1,Clothing,Leggings,UPI,1/9/2018,Shreyoshe,Karnataka,Bangalore
